L,1/L^nu,pc(L),pc_error
50,0.2003397830326594,0.6026315789473684,0.005155890035766845
60,0.18587704156561838,0.6007454823244297,0.004300239135348846
70,0.17446662094063217,0.6021468837258311,0.004489965525597244
100,0.15067862348896416,0.5928375744165217,0.004047470624294532
125,0.1374751275073358,0.5925372741162215,0.0039122572727492535
150,0.12755065221246653,0.5883646804699436,0.003870599470234259
170,0.12115548711838421,0.589033770612718,0.0033461265617760684
200,0.11332770372835937,0.5868473736894789,0.001407100324324499
250,0.10339715189468036,0.5834439702860755,0.0048296458952461
300,0.09593280181081633,0.5845292661082134,0.008620601147982371
350,0.0900437817835182,0.5820425688846742,0.00720949934355283
400,0.08523550411438052,0.5813418681839735,0.006147696227339022
450,0.08120787910194247,0.5808413676834729,0.006400387876134151
500,0.07776658377248002,0.5803408671829725,0.006897996286109007
