L,1/L^nu,pc(L),pc_error
50,0.38850634821820457,0.47846846846846847,0.012109988288221641
60,0.37175929676529346,0.48097097097097097,0.009506922400307968
70,0.35816433871402353,0.4802602602602603,0.006693670846671334
100,0.328583771281341,0.47436436436436435,0.004223931541079921
125,0.31133302684831576,0.4746546546546547,0.004126306851174773
150,0.29791262781614625,0.4724724724724725,0.0008119685759858369
170,0.2890359868242717,0.46965965965965967,0.006741426202790331
200,0.2779035535574538,0.46925925925925926,0.012340375206029632
250,0.2633135354297953,0.4673573573573574,0.01156453228953702
300,0.25196307656003697,0.46675675675675676,0.008795747140542008
350,0.24274897623730793,0.4653553553553554,0.012876388873416661
400,0.23504016883942258,0.4665565565565566,0.013223003461516069
450,0.2284439732307132,0.4648548548548549,0.011502535115349379
500,0.22270049099004907,0.4652552552552553,0.014109046661280222
