L,1/L^nu,pc(L),pc_error
25,0.09699979062970615,0.6453846153846154,0.004945639821816896
50,0.058692656140251744,0.6291683991683992,0.005296412150820695
60,0.05142722226452684,0.6210187110187111,0.009227208495089251
70,0.04599068995010285,0.61995918995919,0.003912943201462457
100,0.03551376618892261,0.6167144067144067,0.004069925092212658
150,0.026470704428426958,0.613953183953184,0.008244215218081078
200,0.021488678002706815,0.6113505813505814,0.0016515885449162836
250,0.01827970414368797,0.6092484792484792,0.002151447112159151
300,0.01601690006464923,0.6088480788480789,0.002017214092228153
350,0.014323703525072017,0.6106083006083006,0.016597342976391084
400,0.013002374342602057,0.6063455763455764,0.0017304533921584024
450,0.011938430444564597,0.6032424732424733,0.001458775594498286
500,0.011060687684849933,0.6026418726418726,0.0011330672729116772
