,P1,P2,P3
0,-0.6540264724069972,-0.6540264724069972,-0.6540264724069972
1,-0.6540230237922195,-0.6540230237922195,-0.6540230237922195
2,-0.6540195751893347,-0.6540195751893347,-0.6540195751893347
3,-0.6540161265983429,-0.6540161265983429,-0.6540161265983429
4,-0.6540126780192437,-0.6540126780192437,-0.6540126780192437
5,-0.6540092294520371,-0.6540092294520371,-0.6540092294520371
6,-0.6540057808967231,-0.6540057808967231,-0.6540057808967231
7,-0.6540023323533016,-0.6540023323533016,-0.6540023323533016
8,-0.6539988838217725,-0.6539988838217725,-0.6539988838217725
9,-0.6539954353021358,-0.6539954353021358,-0.6539954353021358
10,-0.6539919867943913,-0.6539919867943913,-0.6539919867943913
11,-0.653988538298539,-0.653988538298539,-0.653988538298539
12,-0.6539850898145787,-0.6539850898145787,-0.6539850898145787
13,-0.6539816413425105,-0.6539816413425105,-0.6539816413425105
14,-0.6539781928823342,-0.6539781928823342,-0.6539781928823342
15,-0.6539747444340499,-0.6539747444340499,-0.6539747444340499
16,-0.6539712959976571,-0.6539712959976571,-0.6539712959976571
17,-0.6539678475731561,-0.6539678475731561,-0.6539678475731561
18,-0.6539643991605466,-0.6539643991605466,-0.6539643991605466
19,-0.6539609507598286,-0.6539609507598286,-0.6539609507598286
20,-0.6539575023710021,-0.6539575023710021,-0.6539575023710021
21,-0.6539540539940669,-0.6539540539940669,-0.6539540539940669
22,-0.653950605629023,-0.653950605629023,-0.653950605629023
23,-0.6539471572758703,-0.6539471572758703,-0.6539471572758703
24,-0.6539437089346086,-0.6539437089346086,-0.6539437089346086
25,-0.653940260605238,-0.653940260605238,-0.653940260605238
26,-0.6539368122877582,-0.6539368122877582,-0.6539368122877582
27,-0.6539333639821694,-0.6539333639821694,-0.6539333639821694
28,-0.6539299156884714,-0.6539299156884714,-0.6539299156884714
29,-0.6539264674066639,-0.6539264674066639,-0.6539264674066639
