,P: 1,P: 0.7,P: 0.9
0,-6.907755278982136,-6.907755278982136,-6.907755278982136
1,-6.70011591420387,-6.70011591420387,-6.70011591420387
2,-6.528265657277197,-6.528265657277197,-6.528265657277197
3,-6.381662183085377,-6.381662183085377,-6.381662183085377
4,-6.2538288115754765,-6.2538288115754765,-6.2538288115754765
5,-6.140500126268461,-6.140500126268461,-6.140500126268461
6,-6.038717431958508,-6.038717431958508,-6.038717431958508
7,-5.9463441118275275,-5.9463441118275275,-5.9463441118275275
8,-5.8617867237994545,-5.8617867237994545,-5.8617867237994545
9,-5.783825182329734,-5.783825182329734,-5.783825182329734
10,-5.7115045207501,-5.7115045207501,-5.7115045207501
11,-5.644063239954592,-5.644063239954592,-5.644063239954592
12,-5.580884338333053,-5.580884338333053,-5.580884338333053
13,-5.521460917862245,-5.521460917862245,-5.521460917862245
14,-5.465371451211196,-5.465371451211196,-5.465371451211196
15,-5.412261625897242,-5.412261625897242,-5.412261625897242
16,-5.361830772270369,-5.361830772270369,-5.361830772270369
17,-5.3138215530840025,-5.3138215530840025,-5.3138215530840025
18,-5.268012017052703,-5.268012017052703,-5.268012017052703
19,-5.224209394394306,-5.224209394394306,-5.224209394394306
20,-5.182245195295289,-5.182245195295289,-5.182245195295289
21,-5.141971296157345,-5.141971296157345,-5.141971296157345
22,-5.10325678397665,-5.10325678397665,-5.10325678397665
23,-5.065985389179414,-5.065985389179414,-5.065985389179414
24,-5.030053379953364,-5.030053379953364,-5.030053379953364
25,-4.99536782196547,-4.99536782196547,-4.99536782196547
26,-4.9618451299268225,-4.9618451299268225,-4.9618451299268225
27,-4.929409854173666,-4.929409854173666,-4.929409854173666
28,-4.897993657940283,-4.897993657940283,-4.897993657940283
29,-4.867534450455586,-4.867534450455586,-4.867534450455586
30,-4.837975648214038,-4.837975648214038,-4.837975648214038
31,-4.8092655423316035,-4.8092655423316035,-4.8092655423316035
32,-4.781356754214524,-4.781356754214524,-4.781356754214524
33,-4.754205765148583,-4.754205765148583,-4.754205765148583
34,-4.727772508080425,-4.727772508080425,-4.727772508080425
35,-4.702020011978007,-4.702020011978007,-4.702020011978007
36,-4.676914090846928,-4.676914090846928,-4.676914090846928
37,-4.652423070838641,-4.652423070838641,-4.652423070838641
38,-4.628517549985084,-4.628517549985084,-4.628517549985084
39,-4.60517018598809,-4.60517018598809,-4.60517018598809
