,P: 1,P: 0.7,P: 0.9
0,-0.5741646463681607,-0.6180060898580058,-0.3222793454694439
1,-0.5766077514327589,-0.7218886488821376,-0.4010587177546964
2,-0.5481288853691065,-0.6287890868170881,-0.35974989243531924
3,-0.47451546903144776,-0.738027199089256,-0.226611919822203
4,-0.6157578958211428,-0.51692752238398,-0.3572622453221933
5,-0.607490704447022,-0.6670650987721637,-0.3176681524541473
6,-0.5490056916811681,-0.5883555093155982,-0.30019697745217044
7,-0.5231967418962943,-0.5326557320319952,-0.2824588762900232
8,-0.3984426288581799,-0.7678723995407589,-0.2854083233659196
9,-0.5118033775071488,-0.4490147118353963,-0.4524872361749662
10,-0.37234600218489783,-0.5716932599599404,-0.4662575793241286
11,-0.433293587760266,-0.6289013302028612,-0.3885256797542178
12,-0.37582295947867955,-0.5457764551821123,-0.35045043860826997
13,-0.4640193989694641,-0.40011421043518036,-0.3338692968441748
14,-0.45848087511447666,-0.6024495740552254,-0.2484233299778887
15,-0.3200687049928709,-0.482252887725115,-0.3252125684363032
16,-0.40099694231173244,-0.6571177574965793,-0.21044190488105946
17,-0.5456586234574384,-0.6451831106896838,-0.23333559609024235
18,-0.47114303849445516,-0.5793084377251272,-0.23455098838712207
19,-0.4036623590371714,-0.7389616025638465,-0.2744608239295307
20,-0.3814712581388902,-0.44135782559537545,-0.20643321554744112
21,-0.35579919889756223,-0.7258855409100858,-0.373985410801523
22,-0.3434538914130519,-0.5269844003246266,-0.20832378751110225
23,-0.48466339789794505,-0.5037165295278478,-0.2622233508294053
24,-0.35197519499199376,-0.6965994550354918,-0.4098030993946631
25,-0.42583963749735143,-0.6433546900028222,-0.36218212974554714
26,-0.37285044570773157,-0.4060298848794754,-0.21288127337253623
27,-0.5030659828320821,-0.38376479639964095,-0.3145525685651375
28,-0.427358695321257,-0.37861318520659365,-0.20583787727014027
29,-0.3980091621729217,-0.44071312500085036,-0.3437620801993953
30,-0.482008509591241,-0.4353629440033041,-0.2105832906866415
31,-0.3599798373298752,-0.5442503928347067,-0.29753230244708834
32,-0.3421177816072529,-0.4044130554855407,-0.34685929131587134
33,-0.5114254333375299,-0.6080163030231028,-0.21847393743660798
34,-0.3791300426901699,-0.40770352869153853,-0.20904696499220995
35,-0.35070962317018095,-0.5570029644413788,-0.4194293971275758
36,-0.4512281544891541,-0.5194842444056569,-0.2832379554658667
37,-0.2766677117250502,-0.3771816591742074,-0.16174193161240116
38,-0.31583465138911077,-0.48192266920198673,-0.2582852726337905
39,-0.3785169765979831,-0.426146246181959,-0.21143539922127216
