,P1,P2,P3
0,-0.6539264674066639,-0.6539264674066639,-0.6539264674066639
1,-0.6539230191367472,-0.6539230191367472,-0.6539230191367472
2,-0.6539195708787209,-0.6539195708787209,-0.6539195708787209
3,-0.6539161226325851,-0.6539161226325851,-0.6539161226325851
4,-0.6539126743983397,-0.6539126743983397,-0.6539126743983397
5,-0.6539092261759845,-0.6539092261759845,-0.6539092261759845
6,-0.6539057779655195,-0.6539057779655195,-0.6539057779655195
7,-0.6539023297669446,-0.6539023297669446,-0.6539023297669446
8,-0.6538988815802598,-0.6538988815802598,-0.6538988815802598
9,-0.6538954334054649,-0.6538954334054649,-0.6538954334054649
10,-0.6538919852425599,-0.6538919852425599,-0.6538919852425599
11,-0.6538885370915447,-0.6538885370915447,-0.6538885370915447
12,-0.6538850889524191,-0.6538850889524191,-0.6538850889524191
13,-0.6538816408251832,-0.6538816408251832,-0.6538816408251832
14,-0.6538781927098368,-0.6538781927098368,-0.6538781927098368
15,-0.6538747446063802,-0.6538747446063802,-0.6538747446063802
16,-0.6538712965148127,-0.6538712965148127,-0.6538712965148127
17,-0.6538678484351345,-0.6538678484351345,-0.6538678484351345
18,-0.6538644003673454,-0.6538644003673454,-0.6538644003673454
19,-0.6538609523114455,-0.6538609523114455,-0.6538609523114455
20,-0.6538575042674347,-0.6538575042674347,-0.6538575042674347
21,-0.6538540562353128,-0.6538540562353128,-0.6538540562353128
22,-0.6538506082150798,-0.6538506082150798,-0.6538506082150798
23,-0.6538471602067356,-0.6538471602067356,-0.6538471602067356
24,-0.6538437122102801,-0.6538437122102801,-0.6538437122102801
25,-0.6538402642257133,-0.6538402642257133,-0.6538402642257133
26,-0.653836816253035,-0.653836816253035,-0.653836816253035
27,-0.6538333682922453,-0.6538333682922453,-0.6538333682922453
28,-0.6538299203433439,-0.6538299203433439,-0.6538299203433439
29,-0.6538264724063307,-0.6538264724063307,-0.6538264724063307
