L,1/L^nu,pc(L),pc_error
25,0.1941643878049776,0.6236842105263158,0.006515162948779571
50,0.13642225995100182,0.6074996048680259,0.006288513201956734
60,0.12432720916161873,0.6074837995890628,0.0116234830257519
70,0.1149415130727155,0.5994757915810548,0.0064392174664036446
100,0.09585193876454827,0.5970733891786524,0.003116418871252006
125,0.08555676729702137,0.596672988778252,0.006450335110616777
150,0.07797139635972292,0.5923686844739476,0.008315262935817845
170,0.07315708877332751,0.5960565828986881,0.0032312053006117916
200,0.06734673775542628,0.5926531794952847,0.004913516490861476
250,0.06011322509092165,0.5898661819714451,0.013434500801211188
300,0.05478365123069199,0.5874637795690427,0.0011424181235779427
350,0.05064792981814637,0.585946472788578,0.0018338065110779108
400,0.047318636897261034,0.5853458721879775,0.0018883173721913073
450,0.044564125036988644,0.5842447710868763,0.00135886740548505
500,0.042236282938165885,0.5846451714872768,0.0014473857809202103
