L,1/L^nu,pc(L),pc_error
25,0.09188406529776402,0.5580817659765029,0.007888242549304812
50,0.05495233248596995,0.5341262314946525,0.005983059599179382
60,0.04800236437086883,0.5273510352457722,0.004431400001652224
70,0.04281664319886119,0.5291370317686108,0.00465933068750745
100,0.03286488071530803,0.5241162214846425,0.0018754885863202153
125,0.02785225115064477,0.5190269216585006,0.007211715540232121
150,0.024329702631340495,0.5182261208576998,0.005503580112865025
170,0.022172941537847355,0.517425320056899,0.005344388838925479
200,0.019655223637817177,0.516424319055898,0.007276127731664711
250,0.016657362304911164,0.5135214161529952,0.0016994939998415618
300,0.014550661248493276,0.5128207154522945,0.001568887992615348
350,0.012978745508675792,0.5099178125493915,0.0014405084677241605
400,0.011755034792280891,0.5102181128496919,0.0014301155072888607
450,0.010771779892702194,0.5081160107475897,0.0012370865760658243
500,0.009962129001937142,0.5069148095463886,0.0010494303590455184
