L,1/L^nu,pc(L),pc_error
50,0.8606673934513229,0.5358858858858859,0.004142147826895015
60,0.8546697299266794,0.5337837837837838,0.0029056032136296744
70,0.8496313968966369,0.5306806806806807,0.0052856867927694754
100,0.8380872396229185,0.5285785785785786,0.002294461610838836
125,0.8309448631186687,0.5265765765765766,0.0065649253149245145
150,0.8251543245965437,0.5261761761761762,0.0038509004504302603
170,0.8212025154807238,0.5256756756756757,0.006060312434703814
200,0.8160994904223576,0.5218718718718719,0.005958527919367065
250,0.8091444986864786,0.5161661661661662,0.010850387785663862
300,0.803505878607615,0.5144644644644645,0.0022080084100817242
350,0.7987691597719435,0.5115615615615616,0.0018343609486966136
400,0.7946886037392649,0.5132632632632633,0.0015553643507600725
450,0.7911066046896629,0.5143643643643644,0.0016453533131199226
500,0.7879160806137531,0.5145645645645646,0.0012878261665325533
