L,1/L^nu,pc(L),pc_error
50,0.442363979308137,0.35498129708656023,0.005072690398948004
60,0.42586423194618284,0.3539644908065961,0.0020454984977125216
70,0.4123949619031391,0.3550813971866603,0.0067074691452534245
100,0.38284031081465786,0.3513776934829566,0.010896146002574537
125,0.3654372197760653,0.34827459037985353,0.0017724717234316382
150,0.3518067659303647,0.3452715873768505,0.0014322658818507782
170,0.3427449739132947,0.34577208787735103,0.0014648049239308055
200,0.3313260356638804,0.34537168747695063,0.0015557555874005926
250,0.31626467195888125,0.3402665823718455,0.0012646691248253963
300,0.3044683064523716,0.3414677835730467,0.0010258218795281945
350,0.29483855703572315,0.3402665823718455,0.0012643858609230631
400,0.2867434248894667,0.3405668826721458,0.0011468810756002797
450,0.27978770049938784,0.33906538117064433,0.0011799522046816494
500,0.27370869007418464,0.3389652810705442,0.0008926023066527747
